POST_NAME,ET_DESC,ET_PRIM_REASON,ET_PRIM_DESC,ET_SEC_REASON,ET_SEC_DESC,Count of VOL_ID
DOMINICAN REPUBLIC,RESIGNATION,514,other personal safety,,,3
DOMINICAN REPUBLIC,RESIGNATION,616,other personal/family related,,,41
DOMINICAN REPUBLIC,RESIGNATION,616,other personal/family related,615,friend(s) or other family responsibility,1
DOMINICAN REPUBLIC,RESIGNATION,616,other personal/family related,212,host country counterpart/support,1
DOMINICAN REPUBLIC,RESIGNATION,616,other personal/family related,217,other program/work assignment,2
DOMINICAN REPUBLIC,RESIGNATION,217,other program/work assignment,,,6
DOMINICAN REPUBLIC,RESIGNATION,217,other program/work assignment,410,host country culture,1
DOMINICAN REPUBLIC,RESIGNATION,217,other program/work assignment,415,other country assignment/adaptation,1
DOMINICAN REPUBLIC,RESIGNATION,221,other program/work related (please explain),,,1
DOMINICAN REPUBLIC,RESIGNATION,113,Peace Corps policies,,,8
DOMINICAN REPUBLIC,RESIGNATION,113,Peace Corps policies,514,other personal safety,1
DOMINICAN REPUBLIC,RESIGNATION,114,Peace Corps staff in country,,,5
DOMINICAN REPUBLIC,RESIGNATION,114,Peace Corps staff in country,217,other program/work assignment,1
DOMINICAN REPUBLIC,RESIGNATION,500,Personal Safety,,,1
DOMINICAN REPUBLIC,RESIGNATION,100,Personal/Family,,,76
DOMINICAN REPUBLIC,RESIGNATION,100,Personal/Family,200,Adaptation,3
DOMINICAN REPUBLIC,RESIGNATION,100,Personal/Family,400,Job Related,3
DOMINICAN REPUBLIC,RESIGNATION,100,Personal/Family,600,Other,2
DOMINICAN REPUBLIC,RESIGNATION,310,physical health,,,4
DOMINICAN REPUBLIC,RESIGNATION,310,physical health,713,conflict with Volunteers/trainees,1
DOMINICAN REPUBLIC,RESIGNATION,220,political/civil unrest makes work too difficult,,,1
DOMINICAN REPUBLIC,RESIGNATION,215,project/site development,213,matching skills with work assignment,1
DOMINICAN REPUBLIC,RESIGNATION,215,project/site development,414,preferred another country/region,1
DOMINICAN REPUBLIC,RESIGNATION,710,resignation in lieu of administrative separation,,,10
DOMINICAN REPUBLIC,RESIGNATION,513,road safety/traveling,,,1
DOMINICAN REPUBLIC,RESIGNATION,610,romantic interest,,,7
DOMINICAN REPUBLIC,RESIGNATION,512,sexual assault/harassment,,,1
DOMINICAN REPUBLIC,RESIGNATION,413,site location,,,1
DOMINICAN REPUBLIC,RESIGNATION,614,spousal responsibility,,,1
DOMINICAN REPUBLIC,RESIGNATION,210,technical skills,,,1
DOMINICAN REPUBLIC,RESIGNATION,210,technical skills,310,physical health,2
DOMINICAN REPUBLIC,RESIGNATION,110,technical support,410,host country culture,1
DOMINICAN REPUBLIC,RESIGNATION,712,unrealistic expectations,,,7
DOMINICAN REPUBLIC,RESIGNATION,712,unrealistic expectations,615,friend(s) or other family responsibility,1
DOMINICAN REPUBLIC,RESIGNATION,712,unrealistic expectations,114,Peace Corps staff in country,1
DOMINICAN REPUBLIC,RESIGNATION,700,V/T Prefers Not to Respond,,,2
EASTERN CARIBBEAN,RESIGNATION,,,,,126
EASTERN CARIBBEAN,RESIGNATION,200,Adaptation,,,11
EASTERN CARIBBEAN,RESIGNATION,200,Adaptation,500,Personal Safety,1
EASTERN CARIBBEAN,RESIGNATION,200,Adaptation,100,Personal/Family,1
EASTERN CARIBBEAN,RESIGNATION,112,administrative support,,,2
EASTERN CARIBBEAN,RESIGNATION,112,administrative support,114,Peace Corps staff in country,1
EASTERN CARIBBEAN,RESIGNATION,313,alcohol,311,emotional/mental health,1
EASTERN CARIBBEAN,RESIGNATION,214,amount of work,410,host country culture,1
EASTERN CARIBBEAN,RESIGNATION,713,conflict with Volunteers/trainees,311,emotional/mental health,1
EASTERN CARIBBEAN,RESIGNATION,116,death/illness of close friend or family member,,,1
EASTERN CARIBBEAN,RESIGNATION,116,death/illness of close friend or family member,120,other family,1
EASTERN CARIBBEAN,RESIGNATION,116,death/illness of close friend or family member,217,other program/work assignment,1
EASTERN CARIBBEAN,RESIGNATION,118,early termination of spouse,,,1
EASTERN CARIBBEAN,RESIGNATION,118,early termination of spouse,310,physical health,1
EASTERN CARIBBEAN,RESIGNATION,311,emotional/mental health,,,2
EASTERN CARIBBEAN,RESIGNATION,311,emotional/mental health,616,other personal/family related,1
EASTERN CARIBBEAN,RESIGNATION,311,emotional/mental health,110,technical support,1
EASTERN CARIBBEAN,RESIGNATION,615,friend(s) or other family responsibility,,,8
EASTERN CARIBBEAN,RESIGNATION,611,further education,,,5
EASTERN CARIBBEAN,RESIGNATION,212,host country counterpart/support,,,1
EASTERN CARIBBEAN,RESIGNATION,212,host country counterpart/support,610,romantic interest,1
EASTERN CARIBBEAN,RESIGNATION,410,host country culture,,,1
EASTERN CARIBBEAN,RESIGNATION,410,host country culture,110,technical support,1
EASTERN CARIBBEAN,RESIGNATION,400,Job Related,,,9
EASTERN CARIBBEAN,RESIGNATION,211,language skills,210,technical skills,1
EASTERN CARIBBEAN,RESIGNATION,213,matching skills with work assignment,,,2
EASTERN CARIBBEAN,RESIGNATION,213,matching skills with work assignment,211,language skills,1
EASTERN CARIBBEAN,RESIGNATION,300,Medical Concerns,,,6
EASTERN CARIBBEAN,RESIGNATION,111,medical support,110,technical support,1
EASTERN CARIBBEAN,RESIGNATION,600,Other,,,6
EASTERN CARIBBEAN,RESIGNATION,716,other (please explain),114,Peace Corps staff in country,1
EASTERN CARIBBEAN,RESIGNATION,612,other career opportunity,,,8
EASTERN CARIBBEAN,RESIGNATION,415,other country assignment/adaptation,,,2
EASTERN CARIBBEAN,RESIGNATION,415,other country assignment/adaptation,616,other personal/family related,1
EASTERN CARIBBEAN,RESIGNATION,415,other country assignment/adaptation,110,technical support,1
EASTERN CARIBBEAN,RESIGNATION,120,other family,,,3
EASTERN CARIBBEAN,RESIGNATION,115,other Peace Corps support,,,1
EASTERN CARIBBEAN,RESIGNATION,115,other Peace Corps support,512,sexual assault/harassment,1
EASTERN CARIBBEAN,RESIGNATION,514,other personal safety,311,emotional/mental health,1
EASTERN CARIBBEAN,RESIGNATION,514,other personal safety,511,physical assault/harassment,1
EASTERN CARIBBEAN,RESIGNATION,616,other personal/family related,,,31
EASTERN CARIBBEAN,RESIGNATION,616,other personal/family related,615,friend(s) or other family responsibility,1
EASTERN CARIBBEAN,RESIGNATION,616,other personal/family related,412,living arrangements/housing location,1
EASTERN CARIBBEAN,RESIGNATION,217,other program/work assignment,,,1
EASTERN CARIBBEAN,RESIGNATION,221,other program/work related (please explain),,,2
EASTERN CARIBBEAN,RESIGNATION,221,other program/work related (please explain),310,physical health,1
EASTERN CARIBBEAN,RESIGNATION,113,Peace Corps policies,,,4
EASTERN CARIBBEAN,RESIGNATION,114,Peace Corps staff in country,111,medical support,1
EASTERN CARIBBEAN,RESIGNATION,114,Peace Corps staff in country,115,other Peace Corps support,1
EASTERN CARIBBEAN,RESIGNATION,114,Peace Corps staff in country,210,technical skills,1
EASTERN CARIBBEAN,RESIGNATION,500,Personal Safety,,,5
EASTERN CARIBBEAN,RESIGNATION,500,Personal Safety,200,Adaptation,2
EASTERN CARIBBEAN,RESIGNATION,100,Personal/Family,,,35
EASTERN CARIBBEAN,RESIGNATION,100,Personal/Family,200,Adaptation,2
EASTERN CARIBBEAN,RESIGNATION,100,Personal/Family,400,Job Related,3
EASTERN CARIBBEAN,RESIGNATION,100,Personal/Family,300,Medical Concerns,1
EASTERN CARIBBEAN,RESIGNATION,310,physical health,,,4
EASTERN CARIBBEAN,RESIGNATION,310,physical health,311,emotional/mental health,1
EASTERN CARIBBEAN,RESIGNATION,310,physical health,415,other country assignment/adaptation,1
EASTERN CARIBBEAN,RESIGNATION,310,physical health,120,other family,2
EASTERN CARIBBEAN,RESIGNATION,310,physical health,215,project/site development,1
EASTERN CARIBBEAN,RESIGNATION,310,physical health,710,resignation in lieu of administrative separation,1
EASTERN CARIBBEAN,RESIGNATION,216,political/civil unrest,221,other program/work related (please explain),1
EASTERN CARIBBEAN,RESIGNATION,0,Prefer not to respond,,,1
EASTERN CARIBBEAN,RESIGNATION,215,project/site development,,,1
EASTERN CARIBBEAN,RESIGNATION,215,project/site development,214,amount of work,1
EASTERN CARIBBEAN,RESIGNATION,215,project/site development,210,technical skills,1
EASTERN CARIBBEAN,RESIGNATION,710,resignation in lieu of administrative separation,,,5
EASTERN CARIBBEAN,RESIGNATION,710,resignation in lieu of administrative separation,616,other personal/family related,1
EASTERN CARIBBEAN,RESIGNATION,610,romantic interest,,,1
EASTERN CARIBBEAN,RESIGNATION,512,sexual assault/harassment,311,emotional/mental health,1
EASTERN CARIBBEAN,RESIGNATION,413,site location,,,2
EASTERN CARIBBEAN,RESIGNATION,614,spousal responsibility,,,1
EASTERN CARIBBEAN,RESIGNATION,210,technical skills,111,medical support,1
EASTERN CARIBBEAN,RESIGNATION,210,technical skills,221,other program/work related (please explain),1
EASTERN CARIBBEAN,RESIGNATION,110,technical support,,,1
EASTERN CARIBBEAN,RESIGNATION,110,technical support,311,emotional/mental health,1
EASTERN CARIBBEAN,RESIGNATION,714,unable to adhere to Peace Corps policies,716,other (please explain),1
EASTERN CARIBBEAN,RESIGNATION,712,unrealistic expectations,,,3
EASTERN CARIBBEAN,RESIGNATION,712,unrealistic expectations,613,financial,1
EASTERN CARIBBEAN,RESIGNATION,712,unrealistic expectations,212,host country counterpart/support,1
EASTERN CARIBBEAN,RESIGNATION,712,unrealistic expectations,114,Peace Corps staff in country,1
EASTERN CARIBBEAN,RESIGNATION,712,unrealistic expectations,714,unable to adhere to Peace Corps policies,1
EASTERN CARIBBEAN,RESIGNATION,715,use of illegal substance or misuse of alcohol,613,financial,1
EASTERN CARIBBEAN,RESIGNATION,715,use of illegal substance or misuse of alcohol,712,unrealistic expectations,1
EASTERN CARIBBEAN,RESIGNATION,700,V/T Prefers Not to Respond,,,3
ECUADOR,RESIGNATION,,,,,149
ECUADOR,RESIGNATION,200,Adaptation,,,23
ECUADOR,RESIGNATION,200,Adaptation,400,Job Related,5
ECUADOR,RESIGNATION,200,Adaptation,300,Medical Concerns,1
ECUADOR,RESIGNATION,200,Adaptation,600,Other,2
ECUADOR,RESIGNATION,200,Adaptation,100,Personal/Family,2
ECUADOR,RESIGNATION,112,administrative support,,,6
ECUADOR,RESIGNATION,112,administrative support,114,Peace Corps staff in country,1
ECUADOR,RESIGNATION,214,amount of work,,,2
ECUADOR,RESIGNATION,214,amount of work,213,matching skills with work assignment,1
ECUADOR,RESIGNATION,214,amount of work,215,project/site development,1
ECUADOR,RESIGNATION,219,assignment not development work/not needed,,,1
ECUADOR,RESIGNATION,510,crime and personal safety,,,1
ECUADOR,RESIGNATION,510,crime and personal safety,514,other personal safety,1
ECUADOR,RESIGNATION,116,death/illness of close friend or family member,,,5
ECUADOR,RESIGNATION,116,death/illness of close friend or family member,221,other program/work related (please explain),2
ECUADOR,RESIGNATION,116,death/illness of close friend or family member,216,political/civil unrest,1
ECUADOR,RESIGNATION,118,early termination of spouse,310,physical health,1
ECUADOR,RESIGNATION,118,early termination of spouse,110,technical support,1
ECUADOR,RESIGNATION,311,emotional/mental health,,,11
ECUADOR,RESIGNATION,311,emotional/mental health,412,living arrangements/housing location,1
ECUADOR,RESIGNATION,311,emotional/mental health,310,physical health,2
ECUADOR,RESIGNATION,311,emotional/mental health,712,unrealistic expectations,1
ECUADOR,RESIGNATION,117,family financial obligations,,,1
ECUADOR,RESIGNATION,613,financial,,,1
ECUADOR,RESIGNATION,615,friend(s) or other family responsibility,,,10
ECUADOR,RESIGNATION,615,friend(s) or other family responsibility,616,other personal/family related,2
ECUADOR,RESIGNATION,611,further education,,,8
ECUADOR,RESIGNATION,611,further education,612,other career opportunity,1
ECUADOR,RESIGNATION,611,further education,616,other personal/family related,1
ECUADOR,RESIGNATION,611,further education,310,physical health,1
ECUADOR,RESIGNATION,611,further education,610,romantic interest,1
ECUADOR,RESIGNATION,901,Homesick,311,emotional/mental health,1
ECUADOR,RESIGNATION,411,host community/host family,510,crime and personal safety,1
ECUADOR,RESIGNATION,212,host country counterpart/support,,,3
ECUADOR,RESIGNATION,212,host country counterpart/support,214,amount of work,1
ECUADOR,RESIGNATION,212,host country counterpart/support,510,crime and personal safety,1
ECUADOR,RESIGNATION,212,host country counterpart/support,213,matching skills with work assignment,2
ECUADOR,RESIGNATION,212,host country counterpart/support,616,other personal/family related,1
ECUADOR,RESIGNATION,212,host country counterpart/support,113,Peace Corps policies,1
ECUADOR,RESIGNATION,212,host country counterpart/support,215,project/site development,1
ECUADOR,RESIGNATION,410,host country culture,,,1
ECUADOR,RESIGNATION,410,host country culture,512,sexual assault/harassment,1
ECUADOR,RESIGNATION,410,host country culture,712,unrealistic expectations,1
ECUADOR,RESIGNATION,312,illegal substance,,,2
ECUADOR,RESIGNATION,400,Job Related,,,13
ECUADOR,RESIGNATION,400,Job Related,200,Adaptation,1
ECUADOR,RESIGNATION,211,language skills,,,1
ECUADOR,RESIGNATION,412,living arrangements/housing location,,,1
ECUADOR,RESIGNATION,213,matching skills with work assignment,,,2
ECUADOR,RESIGNATION,213,matching skills with work assignment,118,early termination of spouse,1
ECUADOR,RESIGNATION,213,matching skills with work assignment,410,host country culture,1
ECUADOR,RESIGNATION,213,matching skills with work assignment,211,language skills,1
ECUADOR,RESIGNATION,213,matching skills with work assignment,113,Peace Corps policies,1
ECUADOR,RESIGNATION,213,matching skills with work assignment,310,physical health,1
ECUADOR,RESIGNATION,213,matching skills with work assignment,215,project/site development,3
ECUADOR,RESIGNATION,300,Medical Concerns,,,12
ECUADOR,RESIGNATION,300,Medical Concerns,400,Job Related,1
ECUADOR,RESIGNATION,300,Medical Concerns,500,Personal Safety,1
ECUADOR,RESIGNATION,111,medical support,,,3
ECUADOR,RESIGNATION,600,Other,,,12
ECUADOR,RESIGNATION,600,Other,200,Adaptation,3
ECUADOR,RESIGNATION,716,other (please explain),,,1
ECUADOR,RESIGNATION,716,other (please explain),310,physical health,2
ECUADOR,RESIGNATION,612,other career opportunity,,,12
ECUADOR,RESIGNATION,612,other career opportunity,616,other personal/family related,1
ECUADOR,RESIGNATION,415,other country assignment/adaptation,,,1
ECUADOR,RESIGNATION,415,other country assignment/adaptation,510,crime and personal safety,1
ECUADOR,RESIGNATION,415,other country assignment/adaptation,118,early termination of spouse,1
ECUADOR,RESIGNATION,415,other country assignment/adaptation,410,host country culture,2
ECUADOR,RESIGNATION,415,other country assignment/adaptation,211,language skills,1
ECUADOR,RESIGNATION,415,other country assignment/adaptation,113,Peace Corps policies,1
ECUADOR,RESIGNATION,415,other country assignment/adaptation,310,physical health,1
ECUADOR,RESIGNATION,415,other country assignment/adaptation,215,project/site development,1
ECUADOR,RESIGNATION,415,other country assignment/adaptation,110,technical support,1
ECUADOR,RESIGNATION,120,other family,,,5
ECUADOR,RESIGNATION,115,other Peace Corps support,,,1
ECUADOR,RESIGNATION,514,other personal safety,,,1
ECUADOR,RESIGNATION,514,other personal safety,710,resignation in lieu of administrative separation,1
ECUADOR,RESIGNATION,616,other personal/family related,,,29
ECUADOR,RESIGNATION,616,other personal/family related,214,amount of work,1
ECUADOR,RESIGNATION,616,other personal/family related,213,matching skills with work assignment,1
ECUADOR,RESIGNATION,616,other personal/family related,217,other program/work assignment,1
ECUADOR,RESIGNATION,616,other personal/family related,610,romantic interest,1
ECUADOR,RESIGNATION,217,other program/work assignment,,,3
ECUADOR,RESIGNATION,217,other program/work assignment,410,host country culture,1
ECUADOR,RESIGNATION,217,other program/work assignment,415,other country assignment/adaptation,1
ECUADOR,RESIGNATION,217,other program/work assignment,115,other Peace Corps support,1
ECUADOR,RESIGNATION,217,other program/work assignment,221,other program/work related (please explain),1
ECUADOR,RESIGNATION,217,other program/work assignment,310,physical health,1
ECUADOR,RESIGNATION,221,other program/work related (please explain),,,1
ECUADOR,RESIGNATION,221,other program/work related (please explain),211,language skills,1
ECUADOR,RESIGNATION,221,other program/work related (please explain),415,other country assignment/adaptation,1
ECUADOR,RESIGNATION,711,other volunteers/trainees,712,unrealistic expectations,1
ECUADOR,RESIGNATION,113,Peace Corps policies,,,3
ECUADOR,RESIGNATION,113,Peace Corps policies,616,other personal/family related,1
ECUADOR,RESIGNATION,113,Peace Corps policies,610,romantic interest,1
ECUADOR,RESIGNATION,114,Peace Corps staff in country,,,2
ECUADOR,RESIGNATION,114,Peace Corps staff in country,311,emotional/mental health,1
ECUADOR,RESIGNATION,114,Peace Corps staff in country,215,project/site development,1
ECUADOR,RESIGNATION,500,Personal Safety,,,1
ECUADOR,RESIGNATION,500,Personal Safety,100,Personal/Family,1
ECUADOR,RESIGNATION,100,Personal/Family,,,62
ECUADOR,RESIGNATION,100,Personal/Family,200,Adaptation,7
ECUADOR,RESIGNATION,100,Personal/Family,400,Job Related,5
ECUADOR,RESIGNATION,100,Personal/Family,300,Medical Concerns,1
ECUADOR,RESIGNATION,100,Personal/Family,500,Personal Safety,2
ECUADOR,RESIGNATION,511,physical assault/harassment,113,Peace Corps policies,1
ECUADOR,RESIGNATION,310,physical health,,,7
ECUADOR,RESIGNATION,310,physical health,311,emotional/mental health,2
ECUADOR,RESIGNATION,310,physical health,516,other personal safety (please explain),1
ECUADOR,RESIGNATION,310,physical health,221,other program/work related (please explain),3
ECUADOR,RESIGNATION,310,physical health,216,political/civil unrest,1
ECUADOR,RESIGNATION,310,physical health,215,project/site development,1
ECUADOR,RESIGNATION,216,political/civil unrest,310,physical health,1
ECUADOR,RESIGNATION,220,political/civil unrest makes work too difficult,,,2
ECUADOR,RESIGNATION,215,project/site development,,,2
ECUADOR,RESIGNATION,215,project/site development,716,other (please explain),1
ECUADOR,RESIGNATION,710,resignation in lieu of administrative separation,,,17
ECUADOR,RESIGNATION,710,resignation in lieu of administrative separation,410,host country culture,1
ECUADOR,RESIGNATION,710,resignation in lieu of administrative separation,512,sexual assault/harassment,1
ECUADOR,RESIGNATION,513,road safety/traveling,510,crime and personal safety,1
ECUADOR,RESIGNATION,610,romantic interest,,,3
ECUADOR,RESIGNATION,610,romantic interest,615,friend(s) or other family responsibility,1
ECUADOR,RESIGNATION,413,site location,,,2
ECUADOR,RESIGNATION,413,site location,514,other personal safety,1
ECUADOR,RESIGNATION,614,spousal responsibility,,,1
ECUADOR,RESIGNATION,614,spousal responsibility,111,medical support,1
ECUADOR,RESIGNATION,210,technical skills,,,2
ECUADOR,RESIGNATION,210,technical skills,415,other country assignment/adaptation,1
ECUADOR,RESIGNATION,210,technical skills,513,road safety/traveling,1
ECUADOR,RESIGNATION,110,technical support,410,host country culture,1
ECUADOR,RESIGNATION,110,technical support,716,other (please explain),1
ECUADOR,RESIGNATION,110,technical support,114,Peace Corps staff in country,1
ECUADOR,RESIGNATION,714,unable to adhere to Peace Corps policies,,,2
ECUADOR,RESIGNATION,712,unrealistic expectations,,,15
ECUADOR,RESIGNATION,712,unrealistic expectations,611,further education,1
ECUADOR,RESIGNATION,712,unrealistic expectations,411,host community/host family,1
ECUADOR,RESIGNATION,712,unrealistic expectations,212,host country counterpart/support,1
ECUADOR,RESIGNATION,712,unrealistic expectations,716,other (please explain),1
ECUADOR,RESIGNATION,712,unrealistic expectations,616,other personal/family related,1
ECUADOR,RESIGNATION,712,unrealistic expectations,217,other program/work assignment,1
ECUADOR,RESIGNATION,712,unrealistic expectations,110,technical support,1
ECUADOR,RESIGNATION,715,use of illegal substance or misuse of alcohol,712,unrealistic expectations,1
ECUADOR,RESIGNATION,700,V/T Prefers Not to Respond,,,3
EL SALVADOR,RESIGNATION,,,,,127
EL SALVADOR,RESIGNATION,200,Adaptation,,,4
EL SALVADOR,RESIGNATION,200,Adaptation,400,Job Related,1
EL SALVADOR,RESIGNATION,112,administrative support,113,Peace Corps policies,1
EL SALVADOR,RESIGNATION,214,amount of work,615,friend(s) or other family responsibility,1
EL SALVADOR,RESIGNATION,118,early termination of spouse,110,technical support,1
EL SALVADOR,RESIGNATION,311,emotional/mental health,,,4
EL SALVADOR,RESIGNATION,311,emotional/mental health,310,physical health,1
EL SALVADOR,RESIGNATION,615,friend(s) or other family responsibility,211,language skills,1
EL SALVADOR,RESIGNATION,611,further education,,,3
EL SALVADOR,RESIGNATION,212,host country counterpart/support,,,2
EL SALVADOR,RESIGNATION,410,host country culture,,,2
EL SALVADOR,RESIGNATION,410,host country culture,212,host country counterpart/support,2
EL SALVADOR,RESIGNATION,400,Job Related,,,2
EL SALVADOR,RESIGNATION,412,living arrangements/housing location,,,1
EL SALVADOR,RESIGNATION,300,Medical Concerns,,,4
EL SALVADOR,RESIGNATION,300,Medical Concerns,400,Job Related,1
EL SALVADOR,RESIGNATION,111,medical support,,,1
EL SALVADOR,RESIGNATION,600,Other,,,4
EL SALVADOR,RESIGNATION,716,other (please explain),,,1
EL SALVADOR,RESIGNATION,612,other career opportunity,,,3
EL SALVADOR,RESIGNATION,415,other country assignment/adaptation,,,1
EL SALVADOR,RESIGNATION,120,other family,,,2
EL SALVADOR,RESIGNATION,514,other personal safety,,,2
EL SALVADOR,RESIGNATION,616,other personal/family related,,,8
EL SALVADOR,RESIGNATION,221,other program/work related (please explain),,,1
EL SALVADOR,RESIGNATION,113,Peace Corps policies,,,1
EL SALVADOR,RESIGNATION,114,Peace Corps staff in country,,,4
EL SALVADOR,RESIGNATION,114,Peace Corps staff in country,110,technical support,1
EL SALVADOR,RESIGNATION,500,Personal Safety,,,1
EL SALVADOR,RESIGNATION,100,Personal/Family,,,20
EL SALVADOR,RESIGNATION,100,Personal/Family,200,Adaptation,1
EL SALVADOR,RESIGNATION,100,Personal/Family,400,Job Related,3
EL SALVADOR,RESIGNATION,310,physical health,,,3
EL SALVADOR,RESIGNATION,310,physical health,510,crime and personal safety,1
EL SALVADOR,RESIGNATION,310,physical health,311,emotional/mental health,1
EL SALVADOR,RESIGNATION,310,physical health,110,technical support,1
EL SALVADOR,RESIGNATION,215,project/site development,411,host community/host family,1
EL SALVADOR,RESIGNATION,710,resignation in lieu of administrative separation,,,4
EL SALVADOR,RESIGNATION,710,resignation in lieu of administrative separation,311,emotional/mental health,1
EL SALVADOR,RESIGNATION,610,romantic interest,,,2
EL SALVADOR,RESIGNATION,413,site location,,,1
EL SALVADOR,RESIGNATION,614,spousal responsibility,,,2
EL SALVADOR,RESIGNATION,210,technical skills,,,1
EL SALVADOR,RESIGNATION,210,technical skills,215,project/site development,1
EL SALVADOR,RESIGNATION,110,technical support,210,technical skills,1
EL SALVADOR,RESIGNATION,712,unrealistic expectations,,,21
EL SALVADOR,RESIGNATION,712,unrealistic expectations,410,host country culture,1
EL SALVADOR,RESIGNATION,712,unrealistic expectations,211,language skills,1
EL SALVADOR,RESIGNATION,712,unrealistic expectations,711,other volunteers/trainees,1
EL SALVADOR,RESIGNATION,712,unrealistic expectations,610,romantic interest,1
ERITREA,RESIGNATION,200,Adaptation,,,3
ERITREA,RESIGNATION,400,Job Related,,,3
ERITREA,RESIGNATION,300,Medical Concerns,,,1
ERITREA,RESIGNATION,600,Other,,,2
ERITREA,RESIGNATION,100,Personal/Family,,,2
ESTONIA,RESIGNATION,,,,,8
ESTONIA,RESIGNATION,200,Adaptation,,,4
ESTONIA,RESIGNATION,200,Adaptation,400,Job Related,1
ESTONIA,RESIGNATION,400,Job Related,,,2
ESTONIA,RESIGNATION,400,Job Related,200,Adaptation,1
ESTONIA,RESIGNATION,300,Medical Concerns,400,Job Related,1
ESTONIA,RESIGNATION,600,Other,,,1
ESTONIA,RESIGNATION,711,other volunteers/trainees,614,spousal responsibility,1
ESTONIA,RESIGNATION,100,Personal/Family,,,6
ESTONIA,RESIGNATION,100,Personal/Family,200,Adaptation,1
ESTONIA,RESIGNATION,100,Personal/Family,300,Medical Concerns,1
ESTONIA,RESIGNATION,100,Personal/Family,600,Other,1
ESTONIA,RESIGNATION,310,physical health,111,medical support,1
ESTONIA,RESIGNATION,0,Prefer not to respond,,,1
ESWATINI,RESIGNATION,,,,,36
ESWATINI,RESIGNATION,200,Adaptation,,,1
ESWATINI,RESIGNATION,313,alcohol,410,host country culture,1
ESWATINI,RESIGNATION,214,amount of work,,,4
ESWATINI,RESIGNATION,214,amount of work,611,further education,1
ESWATINI,RESIGNATION,311,emotional/mental health,,,8
ESWATINI,RESIGNATION,311,emotional/mental health,510,crime and personal safety,1
ESWATINI,RESIGNATION,311,emotional/mental health,615,friend(s) or other family responsibility,1
ESWATINI,RESIGNATION,311,emotional/mental health,411,host community/host family,1
ESWATINI,RESIGNATION,311,emotional/mental health,410,host country culture,1
ESWATINI,RESIGNATION,311,emotional/mental health,412,living arrangements/housing location,1
ESWATINI,RESIGNATION,311,emotional/mental health,213,matching skills with work assignment,1
ESWATINI,RESIGNATION,311,emotional/mental health,616,other personal/family related,1
ESWATINI,RESIGNATION,311,emotional/mental health,712,unrealistic expectations,3
ESWATINI,RESIGNATION,613,financial,,,2
ESWATINI,RESIGNATION,615,friend(s) or other family responsibility,,,2
ESWATINI,RESIGNATION,615,friend(s) or other family responsibility,213,matching skills with work assignment,2
ESWATINI,RESIGNATION,615,friend(s) or other family responsibility,612,other career opportunity,1
ESWATINI,RESIGNATION,615,friend(s) or other family responsibility,616,other personal/family related,2
ESWATINI,RESIGNATION,611,further education,,,5
ESWATINI,RESIGNATION,411,host community/host family,616,other personal/family related,1
ESWATINI,RESIGNATION,410,host country culture,114,Peace Corps staff in country,1
ESWATINI,RESIGNATION,412,living arrangements/housing location,,,1
ESWATINI,RESIGNATION,412,living arrangements/housing location,311,emotional/mental health,1
ESWATINI,RESIGNATION,213,matching skills with work assignment,,,2
ESWATINI,RESIGNATION,213,matching skills with work assignment,610,romantic interest,1
ESWATINI,RESIGNATION,111,medical support,120,other family,1
ESWATINI,RESIGNATION,600,Other,,,1
ESWATINI,RESIGNATION,612,other career opportunity,,,5
ESWATINI,RESIGNATION,612,other career opportunity,611,further education,1
ESWATINI,RESIGNATION,120,other family,,,2
ESWATINI,RESIGNATION,120,other family,218,received inaccurate information re: assignment,2
ESWATINI,RESIGNATION,616,other personal/family related,,,14
ESWATINI,RESIGNATION,616,other personal/family related,311,emotional/mental health,3
ESWATINI,RESIGNATION,616,other personal/family related,410,host country culture,1
ESWATINI,RESIGNATION,217,other program/work assignment,213,matching skills with work assignment,1
ESWATINI,RESIGNATION,217,other program/work assignment,616,other personal/family related,1
ESWATINI,RESIGNATION,217,other program/work assignment,310,physical health,1
ESWATINI,RESIGNATION,113,Peace Corps policies,,,4
ESWATINI,RESIGNATION,113,Peace Corps policies,112,administrative support,2
ESWATINI,RESIGNATION,113,Peace Corps policies,612,other career opportunity,1
ESWATINI,RESIGNATION,113,Peace Corps policies,710,resignation in lieu of administrative separation,2
ESWATINI,RESIGNATION,114,Peace Corps staff in country,,,1
ESWATINI,RESIGNATION,100,Personal/Family,,,5
ESWATINI,RESIGNATION,100,Personal/Family,200,Adaptation,1
ESWATINI,RESIGNATION,310,physical health,,,1
ESWATINI,RESIGNATION,414,preferred another country/region,612,other career opportunity,1
ESWATINI,RESIGNATION,710,resignation in lieu of administrative separation,,,8
ESWATINI,RESIGNATION,710,resignation in lieu of administrative separation,410,host country culture,1
ESWATINI,RESIGNATION,610,romantic interest,,,1
ESWATINI,RESIGNATION,512,sexual assault/harassment,,,2
ESWATINI,RESIGNATION,512,sexual assault/harassment,411,host community/host family,1
ESWATINI,RESIGNATION,614,spousal responsibility,,,1
ESWATINI,RESIGNATION,210,technical skills,211,language skills,1
ESWATINI,RESIGNATION,210,technical skills,310,physical health,1
ESWATINI,RESIGNATION,712,unrealistic expectations,,,6
ESWATINI,RESIGNATION,712,unrealistic expectations,213,matching skills with work assignment,1
ESWATINI,RESIGNATION,712,unrealistic expectations,714,unable to adhere to Peace Corps policies,1
